us diff,GForcesX_1,GForcesY_1,GForcesZ_1,Temp1,GForcesX_2,GForcesY_2,GForcesZ_2,Temp2
2404,-1.147705,0.944092,1.383057,22.980000,-1.047607,-0.079346,1.333984,24.768236
2066,-1.146484,0.939453,1.377930,23.074118,-1.054199,-0.191650,1.328125,24.768236
1827,-1.142822,0.938721,1.389160,23.121176,-1.039795,-0.242676,1.334717,24.768236
2130,-1.147705,0.925293,1.380859,23.074118,-1.044922,-0.011963,1.322998,24.815294
1835,-1.144775,0.942871,1.378418,23.027060,-1.046143,-0.143555,1.332275,24.768236
2269,-1.148193,0.941406,1.391602,22.980000,-1.046875,-0.186768,1.332031,24.768236
1915,-1.138672,0.943115,1.382568,23.685883,-1.043457,-0.173096,1.331787,24.909412
1886,-1.135010,0.944336,1.388672,22.227058,-1.049805,-0.244873,1.333496,24.815294
1947,-1.148682,0.937744,1.375244,23.027060,-1.051270,-0.119141,1.335938,24.862352
1825,-1.144043,0.943115,1.382324,23.074118,-1.038818,-0.311279,1.327393,24.768236
2073,-1.148193,0.939941,1.387207,23.074118,-1.049805,-0.225586,1.333008,24.768236
1847,-1.145020,0.938477,1.378174,23.027060,-1.046875,-0.000000,1.333008,24.815294
2355,-1.144287,0.940186,1.386475,23.121176,-1.046143,-0.136963,1.329102,24.815294
1827,-1.142334,0.939209,1.380371,23.074118,-1.050049,-0.210938,1.323975,24.815294
2478,-1.147949,0.937500,1.383545,23.027060,-1.060791,-0.178467,1.332031,24.721176
1855,-1.145752,0.935303,1.389160,22.980000,-1.042725,-0.003906,1.331299,24.815294
2164,-1.150879,0.943604,1.384277,22.980000,-1.047363,-0.074219,1.331299,24.721176
1833,-1.143555,0.938477,1.380127,23.027060,-1.046143,-0.032959,1.323730,24.768236
2335,-1.126465,0.947754,1.381348,23.074118,-1.047119,-0.116943,1.326904,24.815294
1824,-1.145752,0.940674,1.388184,23.121176,-1.041748,-0.066406,1.333252,24.815294
2201,-1.140869,0.937500,1.385742,23.027060,-1.044922,-0.051758,1.332520,24.815294
1835,-1.146240,0.942627,1.372070,22.980000,-1.046143,-0.031006,1.324951,24.815294
1891,-1.142090,0.940674,1.375244,22.980000,-1.046631,-0.031006,1.328369,24.721176
1998,-1.148438,0.943115,1.391602,23.027060,-1.044678,-0.048340,1.332764,24.721176
2539,-1.153809,0.940430,1.392578,22.980000,-1.044189,-0.104004,1.328857,24.768236
4109,-1.146973,0.940918,1.379395,23.074118,-1.041992,-0.000000,1.322510,24.815294
2427,-1.142090,0.939697,1.380615,23.027060,-1.035400,-0.000000,1.318848,24.721176
1863,-1.152344,0.937500,1.382080,22.980000,-1.031250,-0.038086,1.318604,24.815294
2368,-1.149170,0.942383,1.383301,22.980000,-1.047607,-0.000000,1.319580,24.721176
2047,-1.143799,0.940430,1.394287,23.027060,-1.045654,-0.039307,1.338379,24.768236
2011,-1.144531,0.933594,1.386475,22.980000,-1.058594,-0.000000,1.327148,24.815294
2101,-1.143066,0.941162,1.385742,22.980000,-1.032471,-0.000000,1.333008,24.721176
1847,-1.148193,0.936768,1.373535,23.027060,-1.043945,-0.000000,1.338379,24.815294
2393,-1.146240,0.941162,1.380615,22.980000,-1.041504,-0.000000,1.328857,24.674118
1864,-1.145264,0.945068,1.380127,22.980000,-1.044922,-0.006104,1.343018,24.768236
2016,-1.140137,0.940674,1.383789,22.980000,-1.047607,-0.000000,1.333740,24.815294
4426,-1.145996,0.940186,1.376221,23.027060,-1.048584,-0.000000,1.336426,24.815294
2061,-1.151367,0.937012,1.381836,23.074118,-1.062256,-0.000000,1.326660,24.815294
1518,-1.147217,0.937744,1.386719,23.027060,-1.037842,-0.000000,1.326660,24.815294
1896,-1.144043,0.936035,1.386475,22.932941,-1.026611,-0.000000,1.362305,24.862352
4564,-1.142334,0.943604,1.384766,23.074118,-1.047852,-0.000000,1.323975,24.815294
2118,-1.140625,0.937988,1.383301,23.027060,-1.049561,-0.000000,1.330811,24.768236
1544,-1.150146,0.939941,1.381348,22.980000,-1.049805,-0.000000,1.332031,24.674118
1870,-1.146729,0.946045,1.384277,23.027060,-1.049805,-0.000000,1.321045,24.815294
4221,-1.146484,0.940918,1.380859,23.027060,-1.047607,-0.000000,1.332031,24.768236
1902,-1.143311,0.940918,1.382324,23.074118,-1.044189,-0.000000,1.345703,24.721176
2306,-1.145020,0.941895,1.377686,23.074118,-1.049316,-0.000000,1.314453,24.768236
1888,-1.146973,0.934326,1.385742,23.027060,-1.061768,-0.000000,1.332520,24.815294
2356,-1.142578,0.943359,1.376953,23.027060,-1.047119,-0.000000,1.321777,24.721176
2208,-1.140381,0.942627,1.385742,22.980000,-1.048584,-0.000000,1.331787,24.815294
2310,-1.147461,0.937500,1.384521,22.980000,-1.046875,-0.030273,1.321533,24.815294
2151,-1.144775,0.945557,1.373779,23.074118,-1.049316,-0.000000,1.319824,24.721176
1822,-1.151611,0.938965,1.391602,22.980000,-1.028809,-0.000000,1.341553,24.815294
2108,-1.139893,0.938721,1.375000,23.121176,-1.041748,-0.056152,1.340088,24.815294
1874,-1.145264,0.944092,1.384277,22.980000,-1.056641,-0.000000,1.324951,24.674118
2246,-1.147705,0.946289,1.383301,23.027060,-1.052979,-0.000000,1.320557,24.768236
1921,-1.149414,0.923584,1.388916,22.980000,-1.047119,-0.000000,1.332764,24.768236
2116,-1.143311,0.945557,1.377197,23.074118,-1.046143,-0.000000,1.326416,24.815294
1927,-1.147461,0.937012,1.386475,23.027060,-1.057373,-0.000000,1.343750,24.815294
1808,-1.145752,0.951904,1.389648,22.980000,-1.061035,-0.000000,1.339600,24.721176
5316,-1.152100,0.935791,1.382568,23.074118,-1.041260,-0.000000,1.340576,24.768236
2006,-1.146240,0.941162,1.381592,23.074118,-1.045898,-0.004639,1.327637,24.862352
2012,-1.139893,0.934326,1.391113,22.885883,-1.058105,-0.000000,1.305176,24.674118
1867,-1.144287,0.936523,1.387939,22.932941,-1.050049,-0.000000,1.326904,24.721176
2295,-1.140137,0.936279,1.387695,22.980000,-1.056396,-0.005859,1.327881,24.815294
1850,-1.147461,0.938232,1.380859,23.027060,-1.044678,-0.153076,1.330811,24.862352
2148,-1.145996,0.946045,1.388428,23.074118,-1.052734,-0.041748,1.328125,24.721176
1831,-1.140625,0.939941,1.381348,23.027060,-1.047119,-0.234619,1.322998,24.815294
1869,-1.143799,0.942139,1.382080,22.980000,-1.041504,-0.000000,1.329346,24.768236
2134,-1.144775,0.934082,1.383545,23.074118,-1.050293,-0.096191,1.338867,24.721176
1970,-1.149170,0.936035,1.381348,22.980000,-1.045166,-0.229004,1.330322,24.909412
1915,-1.147949,0.932861,1.383301,23.121176,-1.021484,-0.182617,1.354980,24.862352
1865,-1.145020,0.939209,1.376465,23.027060,-1.044434,-0.054199,1.340576,24.721176
2550,-1.144287,0.939697,1.380615,23.685883,-1.040771,-0.000000,1.322754,24.815294
